student_id,math_grades,cs_grades
1,76.7,78.35
2,88.34,65.48
3,73.56,81.8
4,79.66,79.82
5,74.83,85.35
6,62.52,74.85
7,66.23,74.36
8,93.09,89.93
9,81.17,75.55
10,73.97,82.37
11,87.84,71.94
12,83.15,85.55
13,66.8,99.25
14,71.07,94.51
15,91.58,78.8
16,97.0,71.27
17,72.05,90.86
18,69.08,79.64
19,91.52,67.39
20,81.42,87.98
21,77.92,83.0
22,92.81,62.7
23,64.97,84.81
24,70.86,79.45
25,64.75,79.16
26,86.62,76.54
27,83.66,79.13
28,65.95,76.81
29,84.42,94.12
30,69.02,78.72
31,78.31,97.94
32,74.07,87.85
33,91.49,91.98
34,77.02,73.17
35,78.55,72.92
36,82.18,79.95
37,78.92,79.73
38,77.79,80.49
39,84.87,57.46
40,80.91,75.77
41,81.12,75.74
42,70.2,81.6
43,71.65,61.69
44,67.81,63.47
45,84.41,74.77
46,75.22,72.34
47,65.25,79.35
48,64.13,92.92
49,83.39,84.27
50,71.03,76.67
51,73.95,90.78
