student_id,math_grades,cs_grades
1,70.49,100.0
2,87.23,86.87
3,83.49,91.14
4,75.1,94.96
5,80.67,62.14
6,77.0,76.66
7,70.49,78.86
8,89.66,81.8
9,75.11,96.68
10,77.14,88.96
11,83.22,76.19
12,100.0,82.06
13,100.0,80.77
14,65.28,86.43
15,78.74,74.19
16,69.73,69.46
17,78.65,79.65
18,86.11,63.65
19,78.54,85.14
20,67.52,89.69
21,79.5,91.22
22,70.88,98.22
23,71.7,83.39
24,77.6,100.0
25,79.78,97.52
26,85.86,82.22
27,67.35,78.62
28,74.77,91.09
29,69.27,96.39
30,75.19,59.98
31,69.06,74.52
32,81.18,84.07
33,76.39,78.71
34,68.9,82.12
35,79.35,76.89
36,66.18,73.42
37,79.16,80.93
38,86.17,92.63
39,88.23,78.2
40,71.83,82.03
41,69.03,99.14
42,70.85,79.06
43,67.63,88.91
44,94.0,85.77
45,56.0,83.12
46,70.71,93.92
47,74.97,90.03
48,70.58,72.79
49,80.92,82.12
50,89.12,98.51
51,80.62,97.86
