student_id,cs_grades,math_grades
1,70.0,73.86
2,77.77,83.26
3,74.68,91.77
4,93.86,79.97
5,87.38,77.59
6,75.25,73.7
7,79.81,88.83
8,86.56,92.81
9,87.78,63.89
10,73.51,78.39
11,82.78,69.95
12,75.89,67.33
13,97.54,73.5
14,75.78,88.88
15,78.58,76.03
16,100.0,98.84
17,70.77,79.67
18,89.46,92.32
19,76.35,71.46
20,82.3,85.06
21,88.65,86.65
22,100.0,82.52
23,90.18,74.67
24,75.74,79.38
25,73.75,87.89
26,100.0,82.62
27,73.64,81.05
28,66.18,62.13
29,87.33,84.69
30,96.71,90.35
31,96.13,93.45
32,94.78,64.47
33,86.22,83.01
34,94.13,86.31
35,80.0,62.43
36,79.68,91.19
37,93.49,72.5
38,97.69,90.33
39,88.5,80.42
40,71.12,81.71
41,88.78,84.16
42,74.24,85.33
43,85.47,75.9
44,90.49,78.41
45,70.91,65.09
46,67.7,69.4
