student_id,cs_grades,math_grades
1,79.02,68.72
2,72.81,95.87
3,73.89,79.34
4,99.09,70.87
5,81.11,100.0
6,95.53,89.68
7,88.39,80.48
8,70.56,58.5
9,70.37,80.47
10,100.0,63.95
11,79.34,83.76
12,89.92,84.17
13,78.32,100.0
14,96.52,67.22
15,82.99,81.17
16,85.34,94.31
17,71.57,73.82
18,96.38,77.71
19,81.52,83.21
20,83.0,67.75
21,77.16,96.87
22,81.01,79.97
23,77.44,79.34
24,85.59,79.17
25,88.81,75.45
26,98.21,62.33
27,83.22,81.87
28,84.37,82.58
29,71.02,57.63
30,56.95,71.75
31,88.97,68.51
32,76.1,78.3
